
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        140 K
Secure System                  172 Services                   0     50,368 K
Registry                       220 Services                   0     27,876 K
smss.exe                       728 Services                   0        300 K
csrss.exe                     1088 Services                   0      2,360 K
wininit.exe                   1284 Services                   0        996 K
services.exe                  1356 Services                   0      6,408 K
LsaIso.exe                    1420 Services                   0        928 K
lsass.exe                     1436 Services                   0     13,484 K
svchost.exe                   1576 Services                   0     24,208 K
fontdrvhost.exe               1612 Services                   0        220 K
svchost.exe                   1724 Services                   0     19,896 K
svchost.exe                   1804 Services                   0      9,008 K
svchost.exe                   1940 Services                   0      4,912 K
WUDFHost.exe                  1948 Services                   0      5,220 K
svchost.exe                   1968 Services                   0      6,840 K
svchost.exe                   1996 Services                   0      4,248 K
svchost.exe                   2004 Services                   0      7,160 K
svchost.exe                   2040 Services                   0      7,564 K
svchost.exe                   2080 Services                   0      3,544 K
svchost.exe                   2192 Services                   0      8,588 K
svchost.exe                   2312 Services                   0      4,308 K
svchost.exe                   2348 Services                   0      2,728 K
svchost.exe                   2360 Services                   0      4,972 K
svchost.exe                   2368 Services                   0      3,528 K
svchost.exe                   2376 Services                   0      4,880 K
svchost.exe                   2528 Services                   0      9,096 K
svchost.exe                   2548 Services                   0      3,752 K
svchost.exe                   2540 Services                   0      2,236 K
svchost.exe                   2596 Services                   0      1,936 K
svchost.exe                   2636 Services                   0     10,436 K
svchost.exe                   2816 Services                   0      1,692 K
svchost.exe                   2904 Services                   0      5,340 K
svchost.exe                   3068 Services                   0      1,232 K
svchost.exe                   3284 Services                   0      2,356 K
svchost.exe                   3300 Services                   0      2,416 K
svchost.exe                   3368 Services                   0     15,076 K
NVDisplay.Container.exe       3376 Services                   0     22,172 K
amdfendrsr.exe                3492 Services                   0      1,704 K
atiesrxx.exe                  3500 Services                   0      2,196 K
svchost.exe                   3508 Services                   0     12,048 K
svchost.exe                   3792 Services                   0     15,540 K
svchost.exe                   3852 Services                   0      3,628 K
WmiPrvSE.exe                  4004 Services                   0     11,060 K
unsecapp.exe                  4328 Services                   0      9,700 K
svchost.exe                   4552 Services                   0      1,564 K
svchost.exe                   4560 Services                   0     11,516 K
svchost.exe                   4568 Services                   0      2,020 K
svchost.exe                   4648 Services                   0      2,740 K
svchost.exe                   4656 Services                   0      6,836 K
Memory Compression            4664 Services                   0    102,484 K
svchost.exe                   4888 Services                   0     10,608 K
svchost.exe                   4916 Services                   0      1,284 K
svchost.exe                   5096 Services                   0      3,388 K
svchost.exe                   5200 Services                   0     12,792 K
svchost.exe                   5516 Services                   0     19,200 K
Lenovo.Modern.ImControlle     5548 Services                   0     90,444 K
svchost.exe                   5608 Services                   0      2,288 K
svchost.exe                   5892 Services                   0      9,076 K
spoolsv.exe                   5268 Services                   0      4,520 K
svchost.exe                   5500 Services                   0      9,400 K
svchost.exe                   6500 Services                   0      2,560 K
svchost.exe                   6604 Services                   0     30,872 K
svchost.exe                   6612 Services                   0     10,296 K
svchost.exe                   6624 Services                   0     32,980 K
svchost.exe                   6632 Services                   0      2,276 K
FMService64.exe               6644 Services                   0      3,488 K
armsvc.exe                    6652 Services                   0      2,920 K
OfficeClickToRun.exe          6668 Services                   0     13,744 K
RtkAudUService64.exe          6680 Services                   0      4,476 K
RtkBtManServ.exe              6688 Services                   0      2,548 K
NahimicService.exe            6700 Services                   0      5,244 K
LenovoUtilityService.exe      6720 Services                   0      6,800 K
svchost.exe                   6768 Services                   0      1,248 K
svchost.exe                   6836 Services                   0     11,168 K
mysqld.exe                    6872 Services                   0      2,232 K
MsMpEng.exe                   6900 Services                   0    209,080 K
svchost.exe                   7280 Services                   0      4,388 K
svchost.exe                   7372 Services                   0      9,228 K
mysqld.exe                    7680 Services                   0      7,048 K
conhost.exe                   7700 Services                   0      1,860 K
svchost.exe                   7892 Services                   0      4,096 K
AggregatorHost.exe            7800 Services                   0      3,468 K
svchost.exe                   8588 Services                   0      9,860 K
svchost.exe                   9196 Services                   0      2,296 K
