
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Secure System                  172 Services                   0     49,084 K
Registry                       220 Services                   0     10,168 K
smss.exe                       740 Services                   0        460 K
csrss.exe                     1096 Services                   0      2,028 K
wininit.exe                   1288 Services                   0      1,908 K
services.exe                  1360 Services                   0      6,024 K
LsaIso.exe                    1424 Services                   0        956 K
lsass.exe                     1444 Services                   0     13,584 K
svchost.exe                   1580 Services                   0     22,408 K
fontdrvhost.exe               1620 Services                   0        580 K
WUDFHost.exe                  1676 Services                   0        896 K
svchost.exe                   1760 Services                   0     14,716 K
svchost.exe                   1808 Services                   0      4,140 K
svchost.exe                   1940 Services                   0        904 K
svchost.exe                   1960 Services                   0      3,152 K
svchost.exe                   1984 Services                   0      2,052 K
svchost.exe                   2004 Services                   0      7,588 K
svchost.exe                   2024 Services                   0     10,740 K
svchost.exe                   1804 Services                   0      6,404 K
svchost.exe                   2080 Services                   0     13,660 K
svchost.exe                   2264 Services                   0      2,284 K
svchost.exe                   2276 Services                   0      3,792 K
svchost.exe                   2420 Services                   0      9,756 K
svchost.exe                   2428 Services                   0      5,572 K
svchost.exe                   2436 Services                   0      2,928 K
svchost.exe                   2448 Services                   0      4,516 K
svchost.exe                   2560 Services                   0      3,840 K
svchost.exe                   2572 Services                   0      4,428 K
svchost.exe                   2660 Services                   0      6,244 K
svchost.exe                   2676 Services                   0      2,128 K
svchost.exe                   2724 Services                   0      1,848 K
svchost.exe                   3056 Services                   0      1,804 K
svchost.exe                   3064 Services                   0      2,388 K
svchost.exe                   3260 Services                   0      8,116 K
svchost.exe                   3344 Services                   0      2,760 K
svchost.exe                   3392 Services                   0      9,528 K
NVDisplay.Container.exe       3404 Services                   0     21,984 K
amdfendrsr.exe                3536 Services                   0      1,564 K
svchost.exe                   3548 Services                   0     10,852 K
atiesrxx.exe                  3556 Services                   0      2,020 K
svchost.exe                   3852 Services                   0     15,488 K
svchost.exe                   3916 Services                   0      2,496 K
WmiPrvSE.exe                  3780 Services                   0      9,828 K
unsecapp.exe                  4324 Services                   0      4,180 K
svchost.exe                   4624 Services                   0      1,364 K
svchost.exe                   4632 Services                   0     14,520 K
svchost.exe                   4640 Services                   0      2,792 K
svchost.exe                   4720 Services                   0      3,556 K
svchost.exe                   4728 Services                   0      3,652 K
Memory Compression            4752 Services                   0    355,288 K
svchost.exe                   5024 Services                   0      9,708 K
svchost.exe                   5060 Services                   0      2,008 K
svchost.exe                   4568 Services                   0      2,656 K
svchost.exe                   5204 Services                   0      3,200 K
svchost.exe                   5308 Services                   0      6,740 K
svchost.exe                   5348 Services                   0      4,544 K
spoolsv.exe                   5636 Services                   0      4,300 K
svchost.exe                   5664 Services                   0      8,412 K
svchost.exe                   5760 Services                   0      2,436 K
svchost.exe                   5880 Services                   0      5,196 K
svchost.exe                   5888 Services                   0     33,312 K
armsvc.exe                    5896 Services                   0      2,740 K
FMService64.exe               5908 Services                   0      2,180 K
Lenovo.Modern.ImControlle     5916 Services                   0     37,964 K
svchost.exe                   5924 Services                   0     26,532 K
RtkBtManServ.exe              5936 Services                   0      2,568 K
svchost.exe                   5952 Services                   0      3,240 K
NahimicService.exe            5960 Services                   0      3,604 K
RtkAudUService64.exe          5968 Services                   0      4,096 K
svchost.exe                   5988 Services                   0      2,304 K
svchost.exe                   6000 Services                   0      1,264 K
svchost.exe                   6016 Services                   0      8,344 K
OfficeClickToRun.exe          6032 Services                   0     30,480 K
MsMpEng.exe                   6044 Services                   0    131,004 K
mysqld.exe                    5300 Services                   0      1,388 K
mysqld.exe                    6460 Services                   0      3,040 K
conhost.exe                   6476 Services                   0        800 K
svchost.exe                   6852 Services                   0      3,492 K
AggregatorHost.exe            6996 Services                   0      3,256 K
svchost.exe                   5804 Services                   0      2,376 K
NisSrv.exe                    7720 Services                   0      3,800 K
svchost.exe                   7948 Services                   0      8,896 K
svchost.exe                   7324 Services                   0      8,672 K
svchost.exe                   5772 Services                   0     11,504 K
svchost.exe                   8364 Services                   0     10,372 K
