
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        136 K
Secure System                  172 Services                   0     50,428 K
Registry                       220 Services                   0     22,076 K
smss.exe                       740 Services                   0      1,124 K
csrss.exe                     1084 Services                   0      1,500 K
wininit.exe                   1276 Services                   0        512 K
services.exe                  1348 Services                   0      5,728 K
LsaIso.exe                    1412 Services                   0      1,580 K
lsass.exe                     1432 Services                   0     13,072 K
svchost.exe                   1568 Services                   0     31,652 K
fontdrvhost.exe               1604 Services                   0        812 K
WUDFHost.exe                  1660 Services                   0      1,788 K
svchost.exe                   1752 Services                   0     16,520 K
svchost.exe                   1796 Services                   0      4,940 K
svchost.exe                   1960 Services                   0      1,904 K
svchost.exe                   1976 Services                   0      3,380 K
svchost.exe                   2000 Services                   0      3,816 K
svchost.exe                   2020 Services                   0      7,048 K
svchost.exe                   2044 Services                   0      9,116 K
svchost.exe                   2080 Services                   0      4,584 K
svchost.exe                   2168 Services                   0      9,752 K
svchost.exe                   2176 Services                   0      5,844 K
svchost.exe                   2324 Services                   0      2,284 K
svchost.exe                   2380 Services                   0      3,036 K
svchost.exe                   2436 Services                   0      3,208 K
svchost.exe                   2452 Services                   0      2,356 K
svchost.exe                   2464 Services                   0      4,600 K
svchost.exe                   2632 Services                   0      3,868 K
svchost.exe                   2648 Services                   0      5,116 K
svchost.exe                   2656 Services                   0      6,128 K
svchost.exe                   2668 Services                   0      4,080 K
svchost.exe                   2724 Services                   0      1,756 K
svchost.exe                   1072 Services                   0      1,936 K
svchost.exe                   3208 Services                   0      1,728 K
svchost.exe                   3216 Services                   0     13,092 K
NVDisplay.Container.exe       3228 Services                   0     16,632 K
amdfendrsr.exe                3336 Services                   0        344 K
atiesrxx.exe                  3344 Services                   0        544 K
svchost.exe                   3352 Services                   0      9,432 K
svchost.exe                   3432 Services                   0      1,068 K
svchost.exe                   3620 Services                   0      1,252 K
svchost.exe                   3624 Services                   0     21,096 K
svchost.exe                   3636 Services                   0      4,352 K
Memory Compression            3728 Services                   0    269,924 K
svchost.exe                   3768 Services                   0      2,204 K
svchost.exe                   3856 Services                   0      2,208 K
svchost.exe                   3864 Services                   0      3,684 K
svchost.exe                   4064 Services                   0     14,480 K
WmiPrvSE.exe                  4148 Services                   0      8,028 K
svchost.exe                   4248 Services                   0      8,648 K
svchost.exe                   4316 Services                   0        900 K
svchost.exe                   4524 Services                   0      7,344 K
svchost.exe                   4712 Services                   0      5,364 K
svchost.exe                   4784 Services                   0      1,924 K
unsecapp.exe                  5032 Services                   0      5,384 K
svchost.exe                   5296 Services                   0     10,504 K
spoolsv.exe                   5580 Services                   0        244 K
svchost.exe                   5764 Services                   0      9,436 K
Lenovo.Modern.ImControlle     6004 Services                   0     69,232 K
svchost.exe                   4812 Services                   0      2,196 K
FMService64.exe               6172 Services                   0      1,156 K
svchost.exe                   6188 Services                   0      9,136 K
svchost.exe                   6196 Services                   0        616 K
svchost.exe                   6204 Services                   0     17,024 K
svchost.exe                   6212 Services                   0      2,504 K
svchost.exe                   6220 Services                   0     29,040 K
RtkAudUService64.exe          6228 Services                   0      2,756 K
LenovoUtilityService.exe      6236 Services                   0      6,440 K
RtkBtManServ.exe              6244 Services                   0      1,296 K
svchost.exe                   6252 Services                   0      8,340 K
OfficeClickToRun.exe          6260 Services                   0     14,468 K
svchost.exe                   6268 Services                   0        392 K
svchost.exe                   6280 Services                   0      3,872 K
NahimicService.exe            6296 Services                   0      5,000 K
MsMpEng.exe                   6320 Services                   0    149,784 K
svchost.exe                   7360 Services                   0      4,248 K
svchost.exe                   7728 Services                   0      2,000 K
svchost.exe                   7880 Services                   0      7,036 K
AggregatorHost.exe            8084 Services                   0      2,928 K
svchost.exe                   8780 Services                   0      7,940 K
svchost.exe                   8840 Services                   0      3,500 K
SecurityHealthService.exe    11020 Services                   0      7,588 K
NisSrv.exe                    5360 Services                   0      2,304 K
svchost.exe                  13100 Services                   0      8,960 K
svchost.exe                  10196 Services                   0      7,532 K
svchost.exe                   4336 Services                   0      3,532 K
